04/10 08:02:24.717/IST   WARN - Session Config - 2# no announce.new.markets property found in initialization file; defaulting to false
04/10 08:04:27.186/IST   INFO -  PriceAction - 2440# test2 traded with the market maker for 0 of IPL2012:Kings XI Punjab changing the price from 3.6384 to 11.1111
04/10 08:04:27.187/IST   INFO -  PriceAction - 2441# test2 traded with the market maker for 0 of IPL2012:Delhi Daredevils changing the price from 3.6384 to 11.1111
04/10 08:04:27.187/IST   INFO -  PriceAction - 2442# test2 traded with the market maker for -135.153 of IPL2012:Royal Challengers Bangalore changing the price from 70.8924 to 11.1111
04/10 08:04:27.188/IST   INFO -  PriceAction - 2443# test2 traded with the market maker for 0 of IPL2012:Chennai Super Kings changing the price from 3.6384 to 11.1111
04/10 08:04:27.188/IST   INFO -  PriceAction - 2444# test2 traded with the market maker for 0 of IPL2012:Kolkata Knight Riders changing the price from 3.6384 to 11.1111
04/10 08:04:27.189/IST   INFO -  PriceAction - 2445# test2 traded with the market maker for 0 of IPL2012:Pune Warriors India changing the price from 3.6384 to 11.1111
04/10 08:04:27.190/IST   INFO -  PriceAction - 2446# test2 traded with the market maker for 0 of IPL2012:Mumbai Indians changing the price from 3.6384 to 11.1111
04/10 08:04:27.190/IST   INFO -  PriceAction - 2447# test2 traded with the market maker for 0 of IPL2012:Rajasthan Royals changing the price from 3.6384 to 11.1111
04/10 08:04:27.191/IST   INFO -  PriceAction - 2448# test2 traded with the market maker for 0 of IPL2012:Deccan Chargers changing the price from 3.6384 to 11.1111
04/10 08:04:27.256/IST   INFO -     NewChart - The chart for IPL2012 has been updated.
04/10 08:04:27.256/IST   INFO -  PriceChange - prices in market 'IPL2012' changed.  IPL2012:Kings XI Punjab: 11, IPL2012:Delhi Daredevils: 11, IPL2012:Royal Challengers Bangalore: 11, IPL2012:Chennai Super Kings: 11, IPL2012:Kolkata Knight Riders: 11, IPL2012:Pune Warriors India: 11, IPL2012:Mumbai Indians: 11, IPL2012:Rajasthan Royals: 11, IPL2012:Deccan Chargers: 11
04/10 08:04:27.322/IST   INFO -     NewChart - The chart for IPL2012 has been updated.
04/10 08:04:27.322/IST   WARN -    UserError - 2458# told test2 "Sold 135.153".
04/10 08:04:45.789/IST   WARN -    UserError - 2693# told User(logging in) "Please type an account name and password".
