04/07 04:11:49.332/IST   WARN - Session Config - 2# no announce.new.markets property found in initialization file; defaulting to false
04/07 04:19:55.239/IST   WARN -    UserError - 2587# told test1 "Bought 45.222 from MarketMaker.".
04/07 04:19:55.347/IST   INFO -     NewChart - The chart for IPL11 has been updated.
04/07 04:20:40.678/IST  DEBUG -      Trading - test1 wants to buy 9 with limit of 100 @ 80.
04/07 04:20:40.713/IST   INFO -  PriceAction - 2921# test1 traded with the market maker for 0 of IPL11:6 changing the price from 6.3309 to 2.5324
04/07 04:20:40.714/IST   INFO -  PriceAction - 2922# test1 traded with the market maker for 0 of IPL11:2 changing the price from 4.007 to 1.6028
04/07 04:20:40.715/IST   INFO -  PriceAction - 2923# test1 traded with the market maker for 0 of IPL11:8 changing the price from 5.1244 to 2.0498
04/07 04:20:40.715/IST   INFO -  PriceAction - 2924# test1 traded with the market maker for 0 of IPL11:4 changing the price from 2.8261 to 1.1304
04/07 04:20:40.716/IST   INFO -  PriceAction - 2925# test1 traded with the market maker for 0 of IPL11:1 changing the price from 8.8346 to 3.5338
04/07 04:20:40.716/IST   INFO -  PriceAction - 2926# test1 traded with the market maker for 0 of IPL11:3 changing the price from 5.4764 to 2.1906
04/07 04:20:40.717/IST   INFO -  PriceAction - 2927# test1 traded with the market maker for 0 of IPL11:5 changing the price from 14.8743 to 5.9497
04/07 04:20:40.718/IST   INFO -  PriceAction - 2928# test1 traded with the market maker for 0 of IPL11:7 changing the price from 2.5262 to 1.0105
04/07 04:20:40.718/IST   INFO -  PriceAction - 2929# test1 traded with the market maker for 15.983 of IPL11:9 changing the price from 50 to 80
04/07 04:20:40.780/IST   INFO -     NewChart - The chart for IPL11 has been updated.
04/07 04:20:40.780/IST   INFO -  PriceChange - prices in market 'IPL11' changed.  IPL11:6: 3, IPL11:2: 2, IPL11:8: 2, IPL11:4: 1, IPL11:1: 4, IPL11:3: 2, IPL11:5: 6, IPL11:7: 1, IPL11:9: 80
